"","volumelist","X.2","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","symbiontvolume","symbiontcorrection","correctedsymbiontvolume","symaporatio","volumelist","X1","Volume..pixel.3.","symvolrat","totalpoints","overlappoints","halfoverlappoints","pointratio","nonoverlappoints","overlapexpected","pointspervolume","observed_expected","symvolvox$Nb.of.obj..voxels","symvolrat2","totalpointnuc","nonoverlapnuc","halfnonoverlapnuc","overlapnuc","overlapnucexp","nucpervolume","nuc_observed_expected","nonoverlapexpected","chisquare","nonoverlapnucexpected","chisquarenuc","symvolrat3","halfchisquarenuc"
"1","15 tentacle base 1.txt",1,1,1,916873.125,124292.703,5569831,629852,245975367680,44162.09,8353.405,47073,9997,61519,590.181,393.427,9.937,106.601,48.81,104.197,596.595,398.471,10.108,82,200,1,942,450,19,1522746,21178,1501568,1.6377053259141,"15 tentacle base 1.txt",1,638639,0.69654021105701,249,60,23,0.240963855421687,189,67.1277875396938,0.000271575197495291,-7.12778753969376,638639,0.114660390952616,3109,1991,2439,1118,838.153780967502,0.003390872646638,279.846219032498,181.872212460306,1.03619181088639,2270.8462190325,127.922864514076,0.269589508191541,127.922864514076
"2","15 tentacle base 2.txt",2,2,1,1074445.75,126710.719,6527055,618642,278989340672,42743.523,8259.596,45148,10933,59240,426.579,465.292,12.027,107.616,53.191,100.206,424.679,470.888,12.041,0,84,1,920,672,23,1438520,12450,1426070,1.32726105529293,"15 tentacle base 2.txt",2,579348,0.53920637686919,289,66,20,0.228373702422145,223,63.1424478574181,0.000268975888266113,2.85755214258192,579348,0.0887610109000154,3261,2292,2762,969,712.482776688721,0.00303505318905119,256.517223311279,225.857552142582,0.16547414250662,2548.51722331128,118.173994558769,0.218485978745391,118.173994558769
"3","15 tentacle base 3.txt",3,3,1,887226.562,111469.172,5389734,556856,227800186880,42265.57,7570.335,43789,10792,58811,467.566,564.096,10.86,105.07,50.032,102.385,458.664,561.706,10.951,0,325,1,942,448,21,2129454,41400,2088054,2.35346200106214,"15 tentacle base 3.txt",3,770758,0.868727372479184,387,197,95,0.509043927648579,190,149.928901500519,0.000436190728022861,47.0710984994807,770758,0.143004831036188,2922,1427,2039,1495,1132.02131830625,0.00329340906274625,362.978681693754,237.071098499481,24.1243522448013,1789.97868169375,189.994043382582,0.387413182171885,189.994043382582
"4","15 tentacle middle 1.txt",4,4,1,1167514.875,138203.562,7092432,650744,303581396992,42803.566,8057.687,45089,10485,59535,511.215,410.499,12.55,134.768,68.132,133.765,509.973,411.528,12.613,4,2,1,1014,895,24,1755343,25135,1730208,1.48195799218404,"15 tentacle middle 1.txt",4,702610,0.601799613045615,288,73,30,0.253472222222222,215,70.2579741335553,0.00024667779928714,2.74202586644469,702610,0.0990647495809618,3346,2083,2619,1263,816.261046704431,0.00286591637644017,446.738953295569,217.742025866445,0.141546032346112,2529.73895329557,323.391649395555,0.243951299074845,323.391649395555
"5","15 tentacle middle 2.txt",5,5,1,1080244.25,140087.109,6562280,704792,279873290240,42648.789,8515.513,45248,10613,59012,522.767,418.983,10.421,123.457,60.937,120.63,529.71,418.686,10.562,0,105,1,1021,692,20,1452090,11378,1440712,1.33369096850087,"15 tentacle middle 2.txt",5,611087,0.565693360552486,341,66,15,0.193548387096774,275,74.8646494815826,0.000315669349778997,-8.86464948158262,611087,0.0931211408230066,3821,2743,3273,1078,838.879254161663,0.00353716300734764,239.120745838337,266.135350518417,1.34492526994006,2982.12074583834,87.3347080307061,0.219544426632207,87.3347080307061
"6","15 tentacle middle 3.txt",6,6,1,942008.062,119769.258,5722521,595029,244258242560,42683.68,7557.711,44444,10374,57785,553.148,615.887,10.876,119.285,59.728,117.124,554.16,610.006,10.965,0,313,1,1021,537,21,1554785,21577,1533208,1.62759541223544,"15 tentacle middle 3.txt",6,622039,0.660332989804072,353,131,44,0.371104815864023,222,94.5776212966278,0.000374731400122561,36.4223787033722,622039,0.108700169033893,2985,1878,2408,1107,799.756939293014,0.00316876268942165,307.243060706986,258.422378703372,19.1598811157245,2185.24306070699,161.231811805775,0.26792527279498,161.231811805775
"7","15 tentacle tip 1.txt",7,7,1,847641.688,115538.297,5149263,536386,234123051008,45467.293,7147.881,47839,10198,59884,580.254,449.923,10.857,126.63,68.216,122.335,592.56,465.574,11.037,102,1,1,868,1003,21,778502,13893,764609,0.902042703685428,"15 tentacle tip 1.txt",7,315743,0.372495836943782,256,32,11,0.125,224,38.0131882951016,0.000302014404935686,-6.01318829510165,315743,0.0613180954245297,3059,2557,2796,502,454.227902323109,0.00360883619022759,47.7720976768908,217.986811704898,1.11708200506179,2604.77209767689,5.90044220206812,0.148489016777741,5.90044220206812
"8","15 tentacle tip 2.txt",8,8,1,721987.875,99731.406,4385940,476088,184619171840,42093.41,8662.285,43959,10869,59800,639.854,391.168,10.406,106.59,54.582,103.053,635.445,392.476,10.501,165,42,1,856,675,20,1132197,10814,1121383,1.55318813352648,"15 tentacle tip 2.txt",8,463859,0.642474778402615,251,58,15,0.231075697211155,193,64.1748708372664,0.000347651267689225,-6.17487083726635,463859,0.105760452719371,2438,1695,2053,743,623.339980483089,0.00337678801046347,119.660019516911,186.825129162734,0.798232088877508,1814.66001951691,30.8611130832879,0.255676776244089,30.8611130832879
"9","15 tentacle tip 3.txt",9,9,1,607030.562,79427.352,3687596,373816,150422814720,40791.566,9327.753,43209,9774,58134,651.791,520.476,11.591,93.995,46.48,92.276,657.549,516.79,11.459,217,294,1,804,442,22,1028625,17196,1011429,1.66619123206518,"15 tentacle tip 3.txt",9,424257,0.698905502553593,186,52,21,0.279569892473118,134,51.0158363334812,0.000306409613689269,0.984163666518775,424257,0.115049750569206,1723,1084,1378,639,472.582182809614,0.00283840733541189,166.417817190386,134.984163666519,0.0261613269698377,1250.41781719039,80.75183924579,0.274278689964953,80.75183924579
"10","16 tentacle 2nd middle 2.txt",10,10,1,983842.938,128327.125,5976660,643584,254811897856,42634.496,6406.807,43383,10310,57392,606.256,828.395,10.445,111.647,57.005,102.676,599.517,818.344,10.46,0,437,1,1022,585,20,2829421,44568,2784853,2.83058696915706,"16 tentacle 2nd middle 2.txt",10,942850,0.958333859586031,188,116,56,0.617021276595745,72,87.5994893468928,0.00019108741114936,28.4005106531072,942850,0.157755334919504,3055,1223,1859,1832,1423.49170188701,0.0031051704311771,408.508298112993,100.400510653107,17.241404894996,1631.50829811299,219.517300569795,0.465954730568578,219.517300569795
